s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
1a9,"POLYGON ((5.059868846264116 -5.040252729758283, 10.61965527615514 -4.973642825000524, 10.61965527615513 0, 5.059868846264117 0, 5.059868846264116 -5.040252729758283))",0.765,0.780,0.811,66249,58951,43269,130978
19d,"POLYGON ((28.67314648943499 -4.442038523400337, 34.5085229876684 -4.173022773894666, 34.5085229876684 0, 28.67314648943499 0, 28.67314648943499 -4.442038523400337))",0.683,0.726,0.770,18100686,15610429,12062475,21682808
11d,"POLYGON ((0 10.61965527615513, 5.059868846264117 10.57920733737058, 5.059868846264116 16.47390220016713, 0 16.53483785734516, 0 10.61965527615513))",0.714,0.744,0.784,6228274,5107982,3462043,9094091
1e5,"POLYGON ((28.67314648943499 -36.34237313080051, 34.5085229876684 -34.64422054710851, 34.5085229876684 -29.53280370582265, 28.67314648943499 -31.09807140426155, 28.67314648943499 -36.34237313080051))",0.742,0.778,0.807,1338160,1124417,847319,1764323
223,"POLYGON ((50.01876534108111 -17.70687285471333, 55.49147701233161 -18.9499500044539, 55.4914770123316 -13.74670252512002, 50.01876534108111 -12.81566331979315, 50.01876534108111 -17.70687285471333))",0.821,0.833,0.833,30886,20177,20177,236991
161,"POLYGON ((39.98123465891889 12.81566331979315, 45 11.85551661629703, 45 16.41644037358546, 39.98123465891889 17.70687285471333, 39.98123465891889 12.81566331979315))",0.802,0.809,0.818,19930,17531,14539,190773
0e3,"POLYGON ((-5.059868846264117 10.57920733737058, 0 10.61965527615513, 0 16.53483785734516, -5.059868846264116 16.47390220016713, -5.059868846264117 10.57920733737058))",0.735,0.780,0.812,10592456,7832688,5190858,15043425
109,"POLYGON ((10.61965527615513 0, 16.53483785734516 0, 16.53483785734516 4.851647556935838, 10.61965527615514 4.973642825000524, 10.61965527615513 0))",0.676,0.713,0.751,258568,228412,189058,307134
17d,"POLYGON ((39.98123465891889 3.881312186924027, 45 3.582521766172679, 45 7.552372279897661, 39.98123465891889 8.175896074358709, 39.98123465891889 3.881312186924027))",0.640,0.714,0.773,1394995,1052460,703254,1548046
1c5,"POLYGON ((10.61965527615513 -34.04786296943432, 16.53483785734516 -33.38766721236327, 16.53483785734515 -27.66622518241585, 10.61965527615513 -28.25839533868567, 10.61965527615513 -34.04786296943432))",0.630,0.630,0.630,14365,14365,14365,15728
131,"POLYGON ((10.61965527615513 34.04786296943432, 16.53483785734516 33.38766721236327, 16.53483785734516 38.79459515585769, 10.61965527615513 39.49464011274421, 10.61965527615513 34.04786296943432))",0.823,0.841,0.853,127837,55427,26117,1638951
14f,"POLYGON ((28.67314648943499 31.09807140426155, 34.5085229876684 29.53280370582265, 34.5085229876684 34.64422054710851, 28.67314648943499 36.34237313080051, 28.67314648943499 31.09807140426155))",0.800,0.818,0.835,1961527,1217703,648881,11213893
19b,"POLYGON ((28.67314648943499 -9.341889685888818, 34.5085229876684 -8.783194988097531, 34.5085229876684 -4.173022773894666, 28.67314648943499 -4.442038523400337, 28.67314648943499 -9.341889685888818))",0.659,0.694,0.736,4382597,3917878,3270084,5054813
1c7,"POLYGON ((10.61965527615513 -28.25839533868567, 16.53483785734515 -27.66622518241585, 16.53483785734516 -21.77355606643973, 10.61965527615513 -22.27057548800819, 10.61965527615513 -28.25839533868567))",0.798,0.828,0.832,54806,28368,24829,333037
